UseCase,Namespace,Definition
"Đăng nhập","",""
"Đăng xuất","",""
"Đặt phòng","",""
"Hủy phòng","",""
"Xem tình trạng phòng","",""
"Tìm phòng","",""
"Theo số giường","",""
"Theo giá","",""
"Đổi phòng","",""
"Tra cứu phòng theo mã phòng , mã KH,...","",""
"Đặt phòng online","",""
"Thanh toán tiền cọc","",""
"Xuất phiếu đặt phòng","",""
"Lập phiếu thuê phòng","",""
"Thanh toán trả phòng","",""
"Xuất phiếu thuê phòng","",""
"Thống kê","",""
"Thống kê bảng","",""
"Thống kê biểu đồ","",""
"Xuất báo cáo doanh thu","",""
"Báo cáo theo tháng","",""
"Báo cáo theo mật độ sử dụng","",""
"Thay đổi quy định các loại phòng","",""
"Xem thống kê doanh thu","",""
"Xuất thống kê doanh thu ","",""
"Thay đổi đơn giá","",""
"Thay đổi quy định các loại khách","",""
"Thay đổi số lượng khách","",""
"Thay đổi hệ số","",""
"Thay đổi số lượng khách tối đa trong phòng","",""
"Quản lí danh sách phòng","",""
"Thêm phòng","",""
"Xóa phòng","",""
"Sửa thông tin phòng","",""
"Tra cứu phòng","",""
"Hủy đặt phòng","",""
"Đăng ký","",""
"Search","",""
"Thay đổi số lượng","",""
"Thay đổi quy định","",""
"Quản lý nhân viên","",""
"Thêm NV","",""
"Sửa NV","",""
"Sửa thông tin cá nhân","",""
"Xóa NV","",""
"Xác nhận thanh toán","",""
"Scan QR","",""
